Week of,Weekly U.S. No 2 Diesel Retail Prices Dollars per Gallon
1998-07-20,1.0270000000000001
1998-07-27,1.02
1998-08-03,1.016
1998-08-10,1.01
1998-08-17,1.0070000000000001
1998-08-24,1.004
1998-08-31,1.0
1998-09-07,1.0090000000000001
1998-09-14,1.0190000000000001
1998-09-21,1.03
1998-09-28,1.0390000000000001
1998-10-05,1.041
1998-10-12,1.041
1998-10-19,1.036
1998-10-26,1.036
1998-11-02,1.035
1998-11-09,1.034
1998-11-16,1.026
1998-11-23,1.012
1998-11-30,1.004
1998-12-07,0.986
1998-12-14,0.972
1998-12-21,0.968
1998-12-28,0.966
1999-01-04,0.965
1999-01-11,0.9670000000000001
1999-01-18,0.97
1999-01-25,0.9640000000000001
1999-02-01,0.9620000000000001
1999-02-08,0.9620000000000001
1999-02-15,0.9590000000000001
1999-02-22,0.953
1999-03-01,0.956
1999-03-08,0.9640000000000001
1999-03-15,1.0
1999-03-22,1.018
1999-03-29,1.046
1999-04-05,1.075
1999-04-12,1.084
1999-04-19,1.08
1999-04-26,1.078
1999-05-03,1.078
1999-05-10,1.083
1999-05-17,1.075
1999-05-24,1.0659999999999998
1999-05-31,1.065
1999-06-07,1.0590000000000002
1999-06-14,1.068
1999-06-21,1.082
1999-06-28,1.087
1999-07-05,1.102
1999-07-12,1.114
1999-07-19,1.133
1999-07-26,1.137
1999-08-02,1.146
1999-08-09,1.156
1999-08-16,1.178
1999-08-23,1.186
1999-08-30,1.194
1999-09-06,1.198
1999-09-13,1.209
1999-09-20,1.226
1999-09-27,1.226
1999-10-04,1.234
1999-10-11,1.228
1999-10-18,1.224
1999-10-25,1.226
1999-11-01,1.229
1999-11-08,1.234
1999-11-15,1.261
1999-11-22,1.2890000000000001
1999-11-29,1.304
1999-12-06,1.294
1999-12-13,1.288
1999-12-20,1.287
1999-12-27,1.298
2000-01-03,1.3090000000000002
2000-01-10,1.307
2000-01-17,1.307
2000-01-24,1.4180000000000001
2000-01-31,1.439
2000-02-07,1.47
2000-02-14,1.456
2000-02-21,1.456
2000-02-28,1.4609999999999999
2000-03-06,1.49
2000-03-13,1.496
2000-03-20,1.479
2000-03-27,1.4509999999999998
2000-04-03,1.442
2000-04-10,1.419
2000-04-17,1.3980000000000001
2000-04-24,1.4280000000000002
2000-05-01,1.4180000000000001
2000-05-08,1.402
2000-05-15,1.415
2000-05-22,1.432
2000-05-29,1.431
2000-06-05,1.419
2000-06-12,1.411
2000-06-19,1.423
2000-06-26,1.432
2000-07-03,1.453
2000-07-10,1.449
2000-07-17,1.435
2000-07-24,1.4240000000000002
2000-07-31,1.4080000000000001
2000-08-07,1.41
2000-08-14,1.4469999999999998
2000-08-21,1.4709999999999999
2000-08-28,1.536
2000-09-04,1.609
2000-09-11,1.629
2000-09-18,1.653
2000-09-25,1.6569999999999998
2000-10-02,1.625
2000-10-09,1.614
2000-10-16,1.67
2000-10-23,1.6480000000000001
2000-10-30,1.629
2000-11-06,1.61
2000-11-13,1.6030000000000002
2000-11-20,1.6269999999999998
2000-11-27,1.645
2000-12-04,1.6219999999999999
2000-12-11,1.577
2000-12-18,1.545
2000-12-25,1.515
2001-01-01,1.5219999999999998
2001-01-08,1.52
2001-01-15,1.5090000000000001
2001-01-22,1.528
2001-01-29,1.5390000000000001
2001-02-05,1.52
2001-02-12,1.518
2001-02-19,1.48
2001-02-26,1.4509999999999998
2001-03-05,1.42
2001-03-12,1.406
2001-03-19,1.392
2001-03-26,1.379
2001-04-02,1.391
2001-04-09,1.3969999999999998
2001-04-16,1.4369999999999998
2001-04-23,1.443
2001-04-30,1.442
2001-05-07,1.47
2001-05-14,1.4909999999999999
2001-05-21,1.494
2001-05-28,1.5290000000000001
2001-06-04,1.514
2001-06-11,1.486
2001-06-18,1.48
2001-06-25,1.4469999999999998
2001-07-02,1.4069999999999998
2001-07-09,1.392
2001-07-16,1.38
2001-07-23,1.348
2001-07-30,1.347
2001-08-06,1.345
2001-08-13,1.367
2001-08-20,1.3940000000000001
2001-08-27,1.452
2001-09-03,1.4880000000000002
2001-09-10,1.492
2001-09-17,1.527
2001-09-24,1.473
2001-10-01,1.39
2001-10-08,1.371
2001-10-15,1.3530000000000002
2001-10-22,1.318
2001-10-29,1.31
2001-11-05,1.291
2001-11-12,1.2690000000000001
2001-11-19,1.252
2001-11-26,1.2229999999999999
2001-12-03,1.194
2001-12-10,1.173
2001-12-17,1.143
2001-12-24,1.1540000000000001
2001-12-31,1.169
2002-01-07,1.168
2002-01-14,1.159
2002-01-21,1.14
2002-01-28,1.1440000000000001
2002-02-04,1.1440000000000001
2002-02-11,1.153
2002-02-18,1.156
2002-02-25,1.1540000000000001
2002-03-04,1.173
2002-03-11,1.216
2002-03-18,1.251
2002-03-25,1.281
2002-04-01,1.295
2002-04-08,1.3230000000000002
2002-04-15,1.32
2002-04-22,1.304
2002-04-29,1.3019999999999998
2002-05-06,1.305
2002-05-13,1.2990000000000002
2002-05-20,1.3090000000000002
2002-05-27,1.308
2002-06-03,1.3
2002-06-10,1.286
2002-06-17,1.275
2002-06-24,1.281
2002-07-01,1.2890000000000001
2002-07-08,1.294
2002-07-15,1.3
2002-07-22,1.311
2002-07-29,1.3030000000000002
2002-08-05,1.304
2002-08-12,1.3030000000000002
2002-08-19,1.3330000000000002
2002-08-26,1.37
2002-09-02,1.3880000000000001
2002-09-09,1.396
2002-09-16,1.4140000000000001
2002-09-23,1.4169999999999998
2002-09-30,1.4380000000000002
2002-10-07,1.46
2002-10-14,1.4609999999999999
2002-10-21,1.469
2002-10-28,1.456
2002-11-04,1.442
2002-11-11,1.4269999999999998
2002-11-18,1.405
2002-11-25,1.405
2002-12-02,1.4069999999999998
2002-12-09,1.405
2002-12-16,1.401
2002-12-23,1.44
2002-12-30,1.4909999999999999
2003-01-06,1.501
2003-01-13,1.4780000000000002
2003-01-20,1.48
2003-01-27,1.492
2003-02-03,1.5419999999999998
2003-02-10,1.662
2003-02-17,1.704
2003-02-24,1.709
2003-03-03,1.7530000000000001
2003-03-10,1.771
2003-03-17,1.7519999999999998
2003-03-24,1.662
2003-03-31,1.6019999999999999
2003-04-07,1.554
2003-04-14,1.5390000000000001
2003-04-21,1.5290000000000001
2003-04-28,1.508
2003-05-05,1.484
2003-05-12,1.444
2003-05-19,1.443
2003-05-26,1.4340000000000002
2003-06-02,1.423
2003-06-09,1.422
2003-06-16,1.432
2003-06-23,1.423
2003-06-30,1.42
2003-07-07,1.4280000000000002
2003-07-14,1.435
2003-07-21,1.439
2003-07-28,1.4380000000000002
2003-08-04,1.453
2003-08-11,1.492
2003-08-18,1.4980000000000002
2003-08-25,1.5030000000000001
2003-09-01,1.501
2003-09-08,1.4880000000000002
2003-09-15,1.4709999999999999
2003-09-22,1.444
2003-09-29,1.429
2003-10-06,1.445
2003-10-13,1.483
2003-10-20,1.5019999999999998
2003-10-27,1.495
2003-11-03,1.4809999999999999
2003-11-10,1.476
2003-11-17,1.4809999999999999
2003-11-24,1.4909999999999999
2003-12-01,1.476
2003-12-08,1.4809999999999999
2003-12-15,1.486
2003-12-22,1.504
2003-12-29,1.5019999999999998
2004-01-05,1.5030000000000001
2004-01-12,1.551
2004-01-19,1.5590000000000002
2004-01-26,1.591
2004-02-02,1.581
2004-02-09,1.568
2004-02-16,1.584
2004-02-23,1.595
2004-03-01,1.619
2004-03-08,1.6280000000000001
2004-03-15,1.617
2004-03-22,1.641
2004-03-29,1.642
2004-04-05,1.6480000000000001
2004-04-12,1.679
2004-04-19,1.724
2004-04-26,1.7180000000000002
2004-05-03,1.7169999999999999
2004-05-10,1.745
2004-05-17,1.7630000000000001
2004-05-24,1.761
2004-05-31,1.746
2004-06-07,1.734
2004-06-14,1.7109999999999999
2004-06-21,1.7
2004-06-28,1.7
2004-07-05,1.716
2004-07-12,1.74
2004-07-19,1.744
2004-07-26,1.754
2004-08-02,1.78
2004-08-09,1.814
2004-08-16,1.825
2004-08-23,1.874
2004-08-30,1.871
2004-09-06,1.869
2004-09-13,1.874
2004-09-20,1.912
2004-09-27,2.012
2004-10-04,2.053
2004-10-11,2.092
2004-10-18,2.18
2004-10-25,2.2119999999999997
2004-11-01,2.206
2004-11-08,2.1630000000000003
2004-11-15,2.1319999999999997
2004-11-22,2.116
2004-11-29,2.116
2004-12-06,2.069
2004-12-13,1.9969999999999999
2004-12-20,1.984
2004-12-27,1.9869999999999999
2005-01-03,1.9569999999999999
2005-01-10,1.9340000000000002
2005-01-17,1.952
2005-01-24,1.959
2005-01-31,1.992
2005-02-07,1.983
2005-02-14,1.986
2005-02-21,2.02
2005-02-28,2.1180000000000003
2005-03-07,2.168
2005-03-14,2.194
2005-03-21,2.244
2005-03-28,2.249
2005-04-04,2.303
2005-04-11,2.316
2005-04-18,2.259
2005-04-25,2.289
2005-05-02,2.262
2005-05-09,2.227
2005-05-16,2.189
2005-05-23,2.156
2005-05-30,2.16
2005-06-06,2.234
2005-06-13,2.276
2005-06-20,2.313
2005-06-27,2.336
2005-07-04,2.3480000000000003
2005-07-11,2.408
2005-07-18,2.392
2005-07-25,2.342
2005-08-01,2.3480000000000003
2005-08-08,2.407
2005-08-15,2.5669999999999997
2005-08-22,2.588
2005-08-29,2.59
2005-09-05,2.898
2005-09-12,2.847
2005-09-19,2.7319999999999998
2005-09-26,2.798
2005-10-03,3.1439999999999997
2005-10-10,3.15
2005-10-17,3.148
2005-10-24,3.157
2005-10-31,2.8760000000000003
2005-11-07,2.698
2005-11-14,2.602
2005-11-21,2.513
2005-11-28,2.479
2005-12-05,2.425
2005-12-12,2.436
2005-12-19,2.4619999999999997
2005-12-26,2.448
2006-01-02,2.4419999999999997
2006-01-09,2.485
2006-01-16,2.449
2006-01-23,2.472
2006-01-30,2.489
2006-02-06,2.499
2006-02-13,2.476
2006-02-20,2.455
2006-02-27,2.471
2006-03-06,2.545
2006-03-13,2.543
2006-03-20,2.5810000000000004
2006-03-27,2.565
2006-04-03,2.617
2006-04-10,2.654
2006-04-17,2.765
2006-04-24,2.8760000000000003
2006-05-01,2.8960000000000004
2006-05-08,2.897
2006-05-15,2.92
2006-05-22,2.888
2006-05-29,2.8819999999999997
2006-06-05,2.89
2006-06-12,2.918
2006-06-19,2.915
2006-06-26,2.867
2006-07-03,2.898
2006-07-10,2.918
2006-07-17,2.926
2006-07-24,2.946
2006-07-31,2.98
2006-08-07,3.055
2006-08-14,3.065
2006-08-21,3.033
2006-08-28,3.0269999999999997
2006-09-04,2.967
2006-09-11,2.8569999999999998
2006-09-18,2.713
2006-09-25,2.595
2006-10-02,2.546
2006-10-09,2.506
2006-10-16,2.503
2006-10-23,2.524
2006-10-30,2.517
2006-11-06,2.506
2006-11-13,2.552
2006-11-20,2.553
2006-11-27,2.5669999999999997
2006-12-04,2.6180000000000003
2006-12-11,2.6210000000000004
2006-12-18,2.6060000000000003
2006-12-25,2.596
2007-01-01,2.58
2007-01-08,2.537
2007-01-15,2.463
2007-01-22,2.43
2007-01-29,2.4130000000000003
2007-02-05,2.435
2007-02-12,2.476
2007-02-19,2.491
2007-02-26,2.551
2007-03-05,2.6260000000000003
2007-03-12,2.685
2007-03-19,2.681
2007-03-26,2.676
2007-04-02,2.79
2007-04-09,2.84
2007-04-16,2.877
2007-04-23,2.8510000000000004
2007-04-30,2.8110000000000004
2007-05-07,2.792
2007-05-14,2.773
2007-05-21,2.803
2007-05-28,2.8169999999999997
2007-06-04,2.799
2007-06-11,2.792
2007-06-18,2.805
2007-06-25,2.835
2007-07-02,2.8289999999999997
2007-07-09,2.8489999999999998
2007-07-16,2.889
2007-07-23,2.889
2007-07-30,2.886
2007-08-06,2.898
2007-08-13,2.847
2007-08-20,2.8680000000000003
2007-08-27,2.863
2007-09-03,2.8930000000000002
2007-09-10,2.924
2007-09-17,2.964
2007-09-24,3.032
2007-10-01,3.048
2007-10-08,3.035
2007-10-15,3.0389999999999997
2007-10-22,3.094
2007-10-29,3.157
2007-11-05,3.303
2007-11-12,3.425
2007-11-19,3.41
2007-11-26,3.444
2007-12-03,3.4160000000000004
2007-12-10,3.325
2007-12-17,3.3089999999999997
2007-12-24,3.3080000000000003
2007-12-31,3.345
2008-01-07,3.3760000000000003
2008-01-14,3.326
2008-01-21,3.27
2008-01-28,3.259
2008-02-04,3.28
2008-02-11,3.28
2008-02-18,3.3960000000000004
2008-02-25,3.552
2008-03-03,3.658
2008-03-10,3.819
2008-03-17,3.9739999999999998
2008-03-24,3.989
2008-03-31,3.964
2008-04-07,3.955
2008-04-14,4.059
2008-04-21,4.143
2008-04-28,4.177
2008-05-05,4.149
2008-05-12,4.331
2008-05-19,4.497
2008-05-26,4.723
2008-06-02,4.707
2008-06-09,4.692
2008-06-16,4.692
2008-06-23,4.648
2008-06-30,4.645
2008-07-07,4.727
2008-07-14,4.763999999999999
2008-07-21,4.718
2008-07-28,4.603
2008-08-04,4.502
2008-08-11,4.353
2008-08-18,4.207
2008-08-25,4.145
2008-09-01,4.121
2008-09-08,4.059
2008-09-15,4.023
2008-09-22,3.958
2008-09-29,3.9589999999999996
2008-10-06,3.875
2008-10-13,3.659
2008-10-20,3.4819999999999998
2008-10-27,3.2880000000000003
2008-11-03,3.088
2008-11-10,2.944
2008-11-17,2.8089999999999997
2008-11-24,2.6639999999999997
2008-12-01,2.615
2008-12-08,2.515
2008-12-15,2.4219999999999997
2008-12-22,2.366
2008-12-29,2.327
2009-01-05,2.291
2009-01-12,2.314
2009-01-19,2.296
2009-01-26,2.2680000000000002
2009-02-02,2.246
2009-02-09,2.219
2009-02-16,2.186
2009-02-23,2.13
2009-03-02,2.0869999999999997
2009-03-09,2.045
2009-03-16,2.017
2009-03-23,2.09
2009-03-30,2.221
2009-04-06,2.228
2009-04-13,2.229
2009-04-20,2.221
2009-04-27,2.201
2009-05-04,2.185
2009-05-11,2.2159999999999997
2009-05-18,2.231
2009-05-25,2.274
2009-06-01,2.352
2009-06-08,2.498
2009-06-15,2.572
2009-06-22,2.616
2009-06-29,2.608
2009-07-06,2.594
2009-07-13,2.542
2009-07-20,2.496
2009-07-27,2.528
2009-08-03,2.55
2009-08-10,2.625
2009-08-17,2.6519999999999997
2009-08-24,2.668
2009-08-31,2.674
2009-09-07,2.647
2009-09-14,2.634
2009-09-21,2.622
2009-09-28,2.6010000000000004
2009-10-05,2.582
2009-10-12,2.6
2009-10-19,2.705
2009-10-26,2.801
2009-11-02,2.8080000000000003
2009-11-09,2.801
2009-11-16,2.79
2009-11-23,2.787
2009-11-30,2.775
2009-12-07,2.772
2009-12-14,2.748
2009-12-21,2.7260000000000004
2009-12-28,2.7319999999999998
2010-01-04,2.7969999999999997
2010-01-11,2.8789999999999996
2010-01-18,2.87
2010-01-25,2.833
2010-02-01,2.781
2010-02-08,2.7689999999999997
2010-02-15,2.7560000000000002
2010-02-22,2.832
2010-03-01,2.861
2010-03-08,2.904
2010-03-15,2.924
2010-03-22,2.946
2010-03-29,2.9389999999999996
2010-04-05,3.015
2010-04-12,3.069
2010-04-19,3.074
2010-04-26,3.0780000000000003
2010-05-03,3.122
2010-05-10,3.127
2010-05-17,3.094
2010-05-24,3.0210000000000004
2010-05-31,2.98
2010-06-07,2.946
2010-06-14,2.928
2010-06-21,2.9610000000000003
2010-06-28,2.9560000000000004
2010-07-05,2.924
2010-07-12,2.903
2010-07-19,2.8989999999999996
2010-07-26,2.9189999999999996
2010-08-02,2.928
2010-08-09,2.991
2010-08-16,2.9789999999999996
2010-08-23,2.957
2010-08-30,2.938
2010-09-06,2.931
2010-09-13,2.943
2010-09-20,2.96
2010-09-27,2.951
2010-10-04,3.0
2010-10-11,3.0660000000000003
2010-10-18,3.073
2010-10-25,3.0669999999999997
2010-11-01,3.0669999999999997
2010-11-08,3.116
2010-11-15,3.1839999999999997
2010-11-22,3.1710000000000003
2010-11-29,3.162
2010-12-06,3.197
2010-12-13,3.2310000000000003
2010-12-20,3.248
2010-12-27,3.2939999999999996
2011-01-03,3.3310000000000004
2011-01-10,3.333
2011-01-17,3.407
2011-01-24,3.43
2011-01-31,3.438
2011-02-07,3.513
2011-02-14,3.534
2011-02-21,3.573
2011-02-28,3.716
2011-03-07,3.8710000000000004
2011-03-14,3.908
2011-03-21,3.907
2011-03-28,3.932
2011-04-04,3.9760000000000004
2011-04-11,4.078
2011-04-18,4.105
2011-04-25,4.098
2011-05-02,4.124
2011-05-09,4.104
2011-05-16,4.061
2011-05-23,3.997
2011-05-30,3.948
2011-06-06,3.94
2011-06-13,3.9539999999999997
2011-06-20,3.95
2011-06-27,3.888
2011-07-04,3.85
2011-07-11,3.8989999999999996
2011-07-18,3.923
2011-07-25,3.949
2011-08-01,3.937
2011-08-08,3.897
2011-08-15,3.835
2011-08-22,3.81
2011-08-29,3.82
2011-09-05,3.8680000000000003
2011-09-12,3.862
2011-09-19,3.833
2011-09-26,3.786
2011-10-03,3.7489999999999997
2011-10-10,3.721
2011-10-17,3.801
2011-10-24,3.825
2011-10-31,3.892
2011-11-07,3.887
2011-11-14,3.987
2011-11-21,4.01
2011-11-28,3.964
2011-12-05,3.931
2011-12-12,3.8939999999999997
2011-12-19,3.8280000000000003
2011-12-26,3.7910000000000004
2012-01-02,3.783
2012-01-09,3.8280000000000003
2012-01-16,3.8539999999999996
2012-01-23,3.8480000000000003
2012-01-30,3.85
2012-02-06,3.8560000000000003
2012-02-13,3.943
2012-02-20,3.96
2012-02-27,4.051
2012-03-05,4.093999999999999
2012-03-12,4.123
2012-03-19,4.1419999999999995
2012-03-26,4.147
2012-04-02,4.1419999999999995
2012-04-09,4.148
2012-04-16,4.127
2012-04-23,4.085
2012-04-30,4.073
2012-05-07,4.0569999999999995
2012-05-14,4.004
2012-05-21,3.9560000000000004
2012-05-28,3.897
2012-06-04,3.846
2012-06-11,3.781
2012-06-18,3.7289999999999996
2012-06-25,3.678
2012-07-02,3.648
2012-07-09,3.6830000000000003
2012-07-16,3.695
2012-07-23,3.783
2012-07-30,3.7960000000000003
2012-08-06,3.85
2012-08-13,3.965
2012-08-20,4.026
2012-08-27,4.0889999999999995
2012-09-03,4.127
2012-09-10,4.132
2012-09-17,4.135
2012-09-24,4.086
2012-10-01,4.079
2012-10-08,4.093999999999999
2012-10-15,4.15
2012-10-22,4.1160000000000005
2012-10-29,4.03
2012-11-05,4.01
2012-11-12,3.98
2012-11-19,3.9760000000000004
2012-11-26,4.034
2012-12-03,4.027
2012-12-10,3.991
2012-12-17,3.945
2012-12-24,3.923
2012-12-31,3.918
2013-01-07,3.911
2013-01-14,3.8939999999999997
2013-01-21,3.9019999999999997
2013-01-28,3.927
2013-02-04,4.022
2013-02-11,4.104
2013-02-18,4.157
2013-02-25,4.159
2013-03-04,4.13
2013-03-11,4.088
2013-03-18,4.047
2013-03-25,4.006
2013-04-01,3.9930000000000003
2013-04-08,3.977
2013-04-15,3.9419999999999997
2013-04-22,3.887
2013-04-29,3.8510000000000004
2013-05-06,3.845
2013-05-13,3.866
2013-05-20,3.89
2013-05-27,3.88
2013-06-03,3.8689999999999998
2013-06-10,3.8489999999999998
2013-06-17,3.841
2013-06-24,3.838
2013-07-01,3.8169999999999997
2013-07-08,3.8280000000000003
2013-07-15,3.867
2013-07-22,3.903
2013-07-29,3.915
2013-08-05,3.909
2013-08-12,3.8960000000000004
2013-08-19,3.9
2013-08-26,3.9130000000000003
2013-09-02,3.9810000000000003
2013-09-09,3.9810000000000003
2013-09-16,3.9739999999999998
2013-09-23,3.949
2013-09-30,3.9189999999999996
2013-10-07,3.897
2013-10-14,3.886
2013-10-21,3.886
2013-10-28,3.87
2013-11-04,3.8569999999999998
2013-11-11,3.832
2013-11-18,3.822
2013-11-25,3.844
2013-12-02,3.883
2013-12-09,3.8789999999999996
2013-12-16,3.8710000000000004
2013-12-23,3.873
2013-12-30,3.903
2014-01-06,3.91
2014-01-13,3.886
2014-01-20,3.873
2014-01-27,3.904
2014-02-03,3.951
2014-02-10,3.977
2014-02-17,3.989
2014-02-24,4.0169999999999995
2014-03-03,4.016
2014-03-10,4.021
2014-03-17,4.003
2014-03-24,3.988
2014-03-31,3.975
2014-04-07,3.9589999999999996
2014-04-14,3.952
2014-04-21,3.971
2014-04-28,3.975
2014-05-05,3.964
2014-05-12,3.948
2014-05-19,3.9339999999999997
2014-05-26,3.925
2014-06-02,3.918
2014-06-09,3.892
2014-06-16,3.8819999999999997
2014-06-23,3.9189999999999996
2014-06-30,3.92
2014-07-07,3.9130000000000003
2014-07-14,3.8939999999999997
2014-07-21,3.8689999999999998
2014-07-28,3.858
2014-08-04,3.853
2014-08-11,3.843
2014-08-18,3.835
2014-08-25,3.821
2014-09-01,3.8139999999999996
2014-09-08,3.8139999999999996
2014-09-15,3.801
2014-09-22,3.778
2014-09-29,3.755
2014-10-06,3.733
2014-10-13,3.698
2014-10-20,3.656
2014-10-27,3.635
2014-11-03,3.623
2014-11-10,3.677
2014-11-17,3.661
2014-11-24,3.628
2014-12-01,3.605
2014-12-08,3.535
2014-12-15,3.4189999999999996
2014-12-22,3.281
2014-12-29,3.213
2015-01-05,3.137
2015-01-12,3.053
2015-01-19,2.9330000000000003
2015-01-26,2.866
2015-02-02,2.8310000000000004
2015-02-09,2.835
2015-02-16,2.865
2015-02-23,2.9
2015-03-02,2.9360000000000004
2015-03-09,2.944
2015-03-16,2.917
2015-03-23,2.864
2015-03-30,2.824
2015-04-06,2.784
2015-04-13,2.7539999999999996
2015-04-20,2.78
2015-04-27,2.8110000000000004
2015-05-04,2.8539999999999996
2015-05-11,2.878
2015-05-18,2.904
2015-05-25,2.9139999999999997
2015-06-01,2.909
2015-06-08,2.884
2015-06-15,2.87
2015-06-22,2.859
2015-06-29,2.843
2015-07-06,2.832
2015-07-13,2.8139999999999996
2015-07-20,2.782
2015-07-27,2.7230000000000003
2015-08-03,2.668
2015-08-10,2.617
2015-08-17,2.615
2015-08-24,2.5610000000000004
2015-08-31,2.5140000000000002
2015-09-07,2.5340000000000003
2015-09-14,2.517
2015-09-21,2.4930000000000003
2015-09-28,2.476
2015-10-05,2.492
2015-10-12,2.556
2015-10-19,2.531
2015-10-26,2.498
2015-11-02,2.485
2015-11-09,2.502
2015-11-16,2.4819999999999998
2015-11-23,2.445
2015-11-30,2.421
2015-12-07,2.379
2015-12-14,2.338
2015-12-21,2.2840000000000003
2015-12-28,2.237
